stamp,img_delta,blur,lin_acc.x,lin_acc.y,lin_acc.z,ang_vel.x,ang_vel.y,ang_vel.z,rpe,ate,drift
1403638129445096960,50.168276,297.531084944057,8.499096666666667,-1.4628252916666666,-2.950167208333333,0.0139626340159546,-0.0048869219055841,0.3623303527140228,11.047046949684413,11.047046949684402,0.22736600281770158
1403638129945096960,49.98374,162.7236040770634,10.1008495,-0.122583125,-4.56009225,0.028623399732707,-0.1130973355292325,-0.0886627260013119,3.0535832746860567,9.48298568848,0.5048183983247743
1403638130445096960,59.91745,335.3425773842339,8.817812791666666,-0.7109821249999999,-3.4813607499999994,0.1082104136236484,-0.0335103216382911,-0.0921533845053006,3.713499250936689,12.777413401209353,0.3232442818606174
1403638130945096960,57.27768,577.8571249712156,8.204897166666667,-0.7927042083333332,-2.6477955,-0.0593411945678072,0.2597049926967562,0.1361356816555577,5.947295973147522,18.39108462656824,0.34757520263589115
1403638131445096960,49.962282,658.6880199578851,9.26728425,-0.6864655000000001,-3.2361945,-0.0328121899374933,0.0726056968829641,0.1228711793404008,3.104332904072183,19.73086213030571,-0.34395201160536004
1403638131945096960,50.620794,220.0081355792352,10.648387458333334,-1.0133538333333332,-3.4650163333333333,-0.0691150383789754,0.0167551608191455,-0.0118682389135614,3.5693752833190184,20.660861020408785,0.40573203138360014
1403638132445096960,50.593376,136.40003399545532,9.643205833333331,0.5557101666666666,-3.366949833333333,0.179419847105017,0.2066469834361286,0.3700098014227978,3.116950572321537,23.800266364973556,0.008354042787313887
1403638132945096960,50.115823,804.6171170539602,7.84532,-0.0817220833333333,-2.0512242916666668,0.0837758040957278,0.3099704751541929,0.2715732316103177,4.349967816068986,20.545108430631366,-0.11248158365067695
1403638133445096960,60.152054,593.768912736808,9.283628666666663,-0.318716125,-3.5957716666666664,-0.4649557127312894,-0.0139626340159546,0.1556833692778942,5.947498535887696,22.493905834310464,0.1130709886447896
1403638133945096960,50.101996,481.0074360818145,10.223432625,-2.803067458333333,-2.353596,-0.1270599695451872,0.0781907504893459,0.1026253600172665,2.803223434669674,19.94214285723079,-0.3193479027920034
1403638134445096960,49.636126,1231.2842584471357,9.422556208333331,-0.6864655000000001,-3.587599458333333,0.0851720674973232,-0.1319468914507713,0.1933824811209717,6.762057846912324,18.926861167089786,-0.6089448776387414
